2014-10-22 18:36:03 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2014-10-22 18:36:03 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2014-10-22 18:36:03 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2014-10-22 18:36:03 install libmount1:amd64 <none> 2.25.1-3ubuntu4
2014-10-22 18:36:03 status half-installed libmount1:amd64 2.25.1-3ubuntu4
2014-10-22 18:36:03 status unpacked libmount1:amd64 2.25.1-3ubuntu4
2014-10-22 18:36:03 status unpacked libmount1:amd64 2.25.1-3ubuntu4
2014-10-22 18:36:03 install libncurses5:amd64 <none> 5.9+20140712-2ubuntu1
2014-10-22 18:36:03 status half-installed libncurses5:amd64 5.9+20140712-2ubuntu1
2014-10-22 18:36:03 status unpacked libncurses5:amd64 5.9+20140712-2ubuntu1
2014-10-22 18:36:04 status unpacked libncurses5:amd64 5.9+20140712-2ubuntu1
2014-10-22 18:36:04 install libncursesw5:amd64 <none> 5.9+20140712-2ubuntu1
2014-10-22 18:36:04 status half-installed libncursesw5:amd64 5.9+20140712-2ubuntu1
2014-10-22 18:36:04 status unpacked libncursesw5:amd64 5.9+20140712-2ubuntu1
2014-10-22 18:36:04 status unpacked libncursesw5:amd64 5.9+20140712-2ubuntu1
2014-10-22 18:36:04 install libnih-dbus1:amd64 <none> 1.0.3-4ubuntu26
2014-10-22 18:36:04 status half-installed libnih-dbus1:amd64 1.0.3-4ubuntu26
2014-10-22 18:36:04 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu26
2014-10-22 18:36:04 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu26
2014-10-22 18:36:04 install libnih1:amd64 <none> 1.0.3-4ubuntu26
2014-10-22 18:36:04 status half-installed libnih1:amd64 1.0.3-4ubuntu26
2014-10-22 18:36:05 status unpacked libnih1:amd64 1.0.3-4ubuntu26
2014-10-22 18:36:05 status unpacked libnih1:amd64 1.0.3-4ubuntu26
2014-10-22 18:36:05 install libpam-modules:amd64 <none> 1.1.8-3ubuntu4
2014-10-22 18:36:05 status half-installed libpam-modules:amd64 1.1.8-3ubuntu4
2014-10-22 18:36:07 status unpacked libpam-modules:amd64 1.1.8-3ubuntu4
2014-10-22 18:36:07 status unpacked libpam-modules:amd64 1.1.8-3ubuntu4
2014-10-22 18:36:07 install libpam-modules-bin:amd64 <none> 1.1.8-3ubuntu4
2014-10-22 18:36:07 status half-installed libpam-modules-bin:amd64 1.1.8-3ubuntu4
2014-10-22 18:36:07 status unpacked libpam-modules-bin:amd64 1.1.8-3ubuntu4
2014-10-22 18:36:07 status unpacked libpam-modules-bin:amd64 1.1.8-3ubuntu4
2014-10-22 18:36:07 install libpam-runtime:all <none> 1.1.8-3ubuntu4
2014-10-22 18:36:07 status half-installed libpam-runtime:all 1.1.8-3ubuntu4
2014-10-22 18:36:08 status unpacked libpam-runtime:all 1.1.8-3ubuntu4
2014-10-22 18:36:08 status unpacked libpam-runtime:all 1.1.8-3ubuntu4
2014-10-22 18:36:08 install libpam0g:amd64 <none> 1.1.8-3ubuntu4
2014-10-22 18:36:08 status half-installed libpam0g:amd64 1.1.8-3ubuntu4
2014-10-22 18:36:08 status unpacked libpam0g:amd64 1.1.8-3ubuntu4
2014-10-22 18:36:08 status unpacked libpam0g:amd64 1.1.8-3ubuntu4
2014-10-22 18:36:09 install libpcre3:amd64 <none> 1:8.35-3ubuntu1
2014-10-22 18:36:09 status half-installed libpcre3:amd64 1:8.35-3ubuntu1
2014-10-22 18:36:09 status unpacked libpcre3:amd64 1:8.35-3ubuntu1
2014-10-22 18:36:09 status unpacked libpcre3:amd64 1:8.35-3ubuntu1
2014-10-22 18:36:09 install libplymouth4:amd64 <none> 0.9.0-0ubuntu7
2014-10-22 18:36:09 status half-installed libplymouth4:amd64 0.9.0-0ubuntu7
2014-10-22 18:36:09 status unpacked libplymouth4:amd64 0.9.0-0ubuntu7
2014-10-22 18:36:09 status unpacked libplymouth4:amd64 0.9.0-0ubuntu7
